rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,sex,blood-pressure
rec-0046-org,male,ella,darch,2904,melbourne,07 6395 5031,9227 5212 8374 9478,44842.03,5,87514.6,66,m,78.635
rec-0047-dup-0,,olivia,plackwell,29p2,pertg,08 9951 1322,5322 1018 3023 9077,33687.72,112,175774.5,4,f,67.383
rec-0047-dup-1,female,oliv:a,blacckwell,290w,pert,,5322 1018 3023 9077,33687.72,112,175774.5,46,f,67.383
rec-0047-org,female,olivia,blackwell,2902,perth,08 9951 1322,5322 1018 3023 9077,33687.72,112,175774.5,46,f,67.383
rec-0048-dup-0,,kadelyn,penell,2611,brisbanr,,8921 5372 2738 9550,25197.66,83,98919.9,57,na,77.180
rec-0048-org,female,katelyn,pennell,2611,brisbane,02 6555 0072,8921 5372 2738 9550,25197.66,83,98919.9,57,na,77.180
rec-0049-org,female,caitlin,verco,2602,brisbane,04 2315 4506,5045 1278 0450 1244,62922.24,75,101164.6,57,f,74.725
rec-0050-dup-0,,emiili,runtle,2906,sydney,08 4034 2382,1068 3135 71521 0323,38999.43,51,163433.1,61,f,75.565
rec-0050-org,female,emiily,rundle,2906,sydney,08 4034 2382,1068 3135 7521 0323,38999.43,51,163433.1,67,f,75.565
rec-0051-org,female,juliana,kempton,2607,melbourne,03 2722 4429,5269 3223 6161 6202,52168.29,102,29573.3,14,m,76.927
rec-0052-dup-0,male,emiily,butrose,26q5,sydney,,9554 0302 92253 5308,69633.75,16,76566.2,45,f,83.269
rec-0052-dup-1,male,emiili,buttros,missing,sydney,,9554 0302 9253 5308,69633.75,16,76566.2,695,f,83.269
rec-0052-dup-2,male,emiili,buttr0se,2616,sydhey,,9554 0302 9253 5308,69633.75,16,76566.2,95,f,83.269
rec-0052-org,male,emiily,buttrose,2615,sydney,07 0644 5312,9554 0302 9253 5308,69633.75,16,76566.2,95,f,83.269
rec-0053-dup-0,,michaela,wight,2914,,,7592 9040 9697 3858,40074.58,45,24203.9,5,na,77.639
rec-0053-dup-1,male,mikaela,whlte,2914,meobourne,,7592 9040 969 3858,40074.58,45,24203.9,15,na,77.639
rec-0053-org,male,michaela,white,2914,melbourne,04 6391 0327,7592 9040 9697 3858,40074.58,45,24203.9,15,na,77.639
rec-0054-dup-0,,zophie,lavemder,290r,,08 0328 8748,3873 1419 0375 5978,27065.12,14,13852.2,11,na,75.465
rec-0054-org,female,sophie,lavender,2905,sydney,08 0328 8748,3873 1419 0375 5978,27065.12,14,13852.2,11,na,75.465
rec-0055-org,female,ellie,heerey,2905,melbourne,03 1244 5167,4741 5900 4943 3898,40365.90,29,81075.8,94,f,78.941
rec-0056-org,female,holly,miell,2620,canberra,02 5943 9931,2191 0194 1687 7557,28936.81,40,45288.3,85,m,75.176
rec-0057-org,female,eloise,vaninetti,2611,hobart,02 5910 8297,0297 9326 4362 1861,53296.67,82,62475.5,93,na,78.833
rec-0058-dup-0,,alana,ebb,261t,canberra,,1326 9345 48779 6289,52456.51,28,25634.7,91,na,67.501
rec-0058-dup-1,,alana,wep,26q5,canbrrra,03 2744 1647,1326 934 8779 6289,52456.51,28,25634.7,91,na,67.501
rec-0058-org,male,alana,webb,2615,canberra,03 2744 1647,1326 9345 8779 6289,52456.51,28,25634.7,91,na,67.501
rec-0059-dup-0,male,lilv,finlai,missing,cangerra,03 0224 1059,2319 9078 475 5476,22623.51,1,60618.5,23,na,76.921
rec-0059-dup-1,,lili,findlay,2911,canberra,,2319 9078 41755476,22623.51,1,60618.5,23,na,76.921
rec-0059-dup-2,male,lili,finlai,291q,canbera,,2319 9078 4175 5476,22623.51,1,60618.5,23,na,76.921
rec-0059-org,male,lily,finlay,2911,canberra,03 0224 1059,2319 9078 4175 5476,22623.51,1,60618.5,23,na,76.921
rec-0060-dup-0,,annalis,campbel,missing,sydney,,1929 5650 4910 6163,41610.27,60,7311.1,28,na,75.586
rec-0060-org,female,annalise,campbell,2605,sydney,08 0148 1071,1929 5650 4910 6163,41610.27,60,7311.1,28,na,75.586
rec-0061-dup-0,,kelsei,halpe,2912,perth,,7045 0702 7668 3255,46092.28,107,22424.4,61,m,72.575
rec-0061-org,male,kelsey,halbe,2913,perth,02 9320 1387,7045 0702 7668 3255,46092.28,107,22424.4,61,m,72.575
rec-0062-dup-0,,aprol,aspinal,missing,sydney,07 7925 7935,7020 2636 18847 0523,51617.43,88,58682.1,102,m,73.943
rec-0062-dup-1,female,april,aspimall,2614,zydney,07 7925 7935,7020 636 1847 0523,51617.43,88,58682.1,12,m,73.943
rec-0062-dup-2,,april,azpinall,missing,sydney,,7020 2636 1847 0523,51617.43,88,58682.1,120,m,73.943
rec-0062-org,female,april,aspinall,2615,sydney,07 7925 7935,7020 2636 1847 0523,51617.43,88,58682.1,102,m,73.943
rec-0063-org,female,laura,white,2602,brisbane,07 8658 7135,3253 5014 0010 1327,55379.42,63,74376.5,80,f,72.247
rec-0064-org,female,megan,dinh,2600,melbourne,08 8189 1775,2056 7977 1729 0695,101878.52,61,40279.7,40,na,69.625
rec-0065-org,male,annabelle,leslie,2903,perth,03 0027 7100,1549 5191 3480 1244,75264.15,9,38992.8,48,m,77.019
rec-0066-dup-0,,pets,eaver,2612,melbourn,04 4256 1483,9221 1468 4309 8135,37018.26,67,88595.0,11,f,82.315
rec-0066-dup-1,,peda,weafer,2611,melbourne,,9221 1468 4309 8135,37018.26,67,88595.0,71,f,82.315
rec-0066-org,male,peta,weaver,2611,melbourne,04 4256 1483,9221 1468 4309 8135,37018.26,67,88595.0,11,f,82.315
rec-0067-dup-0,female,haahriet,kidche,missing,pert,,1532 5417 6550 0570,69267.99,27,69546.7,33,f,79.012
rec-0067-dup-1,,harrit,ckitche,2600,perth,,1532 5417 65500570,69267.99,27,69546.7,33,f,79.012
rec-0067-org,female,harriet,kitche,2600,perth,02 7342 6712,1532 5417 6550 0570,69267.99,27,69546.7,33,f,79.012
rec-0068-org,female,ruby,glowick,2904,sydney,07 0663 7301,1614 0073 8768 7884,47923.47,67,74737.0,24,f,69.760
rec-0069-dup-0,,abbie,wank,29p5,melborne,,6512 4459 3191 0070,41527.57,33,66933.8,70,m,82.544
rec-0069-dup-1,female,abbie,wan9,missing,melpourne,,6512 47459 3191 0070,41527.57,33,66933.8,70,m,82.544
rec-0069-org,female,abbie,wang,2905,melbourne,02 8661 8929,6512 4459 3191 0070,41527.57,33,66933.8,70,m,82.544
rec-0070-dup-0,,annabelle,dimavro,2617,kanberra,,6151 870 5923 1337,16804.83,78,83401.4,91,m,73.356
rec-0070-org,male,annabelle,dimauro,2617,canberra,04 4917 4725,6151 8270 5923 1337,16804.83,78,83401.4,91,m,73.356
rec-0071-dup-0,,imoken,rut,2913,melbourne,,54902482 1377 7495,74675.55,43,63098.7,65,m,79.399
rec-0071-dup-1,male,imofen,rudd,missing,melbouahne,,5490 2482 1377 7495,74675.55,43,63098.7,85,m,79.399
rec-0071-org,male,imogen,rudd,2913,melbourne,03 7579 8029,5490 2482 1377 7495,74675.55,43,63098.7,65,m,79.399
rec-0072-dup-0,,dimara,pascoe,2616,sydjey,07 4965 1443,0573 0360 907 8873,15171.63,44,69803.7,57,m,77.360
rec-0072-dup-1,,dimara,pasco,2615,sytney,07 4965 1443,0573 030 5907 8873,15171.63,44,69803.7,57,m,77.360
rec-0072-dup-2,,timara,pascoe,2715,sydnsy,,0573 360 5907 8873,15171.63,44,69803.7,57,m,77.360
rec-0072-org,female,timara,pascoe,2615,sydney,07 4965 1443,0573 0360 5907 8873,15171.63,44,69803.7,57,m,77.360
rec-0073-org,male,olivia,wiseman,2906,melbourne,07 2708 4875,7814 9617 4148 5471,54941.16,77,12543.8,30,f,72.568
rec-0074-dup-0,,tiaahna,laink,2614,melbouahne,07 7808 8683,5686 164 5143 6979,52176.81,6,68019.3,70,m,71.163
rec-0074-org,male,tiarna,laing,2614,melbourne,07 7808 8683,5686 1694 5143 6979,52176.81,6,68019.3,70,m,71.163
rec-0075-dup-0,,emiili,chapel,2905,brijbane,,4160 2607 5322 3493,32807.13,76,100354.8,87,na,73.178
rec-0075-dup-1,,emiili,chappel,290t,brisbanr,,4160 2607 5322 3493,32807.13,76,100354.8,87,na,73.178
rec-0075-org,female,emiily,chappel,2905,brisbane,03 8242 6081,4160 2607 5322 3493,32807.13,76,100354.8,87,na,73.178
rec-0076-org,male,lacey,sherriff,2614,melbourne,04 9578 5358,2835 7653 1969 0737,46517.26,42,94563.3,88,m,69.602
rec-0077-dup-0,female,chjeree,campbel,2611,prisbane,,8565 4090 4890 5753,93046.83,110,63518.3,126,na,72.777
rec-0077-dup-1,,kheree,kampbell,2611,brisgane,,8565 4090 4890 5753,93046.83,110,63518.3,16,na,72.777
rec-0077-dup-2,female,kheree,kampbell,2611,brisban,,8565 490 4890 5753,93046.83,110,63518.3,16,na,72.777
rec-0077-org,female,cheree,campbell,2611,brisbane,07 6610 6439,8565 4090 4890 5753,93046.83,110,63518.3,16,na,72.777
rec-0078-org,male,keeley,crouch,2611,melbourne,07 4410 4615,0672 0317 0667 6847,59835.52,60,162013.3,73,f,70.682
rec-0079-org,male,amber,tennent,2905,melbourne,04 9541 8396,1692 0556 4834 2032,36082.15,88,57571.1,101,na,76.737
rec-0080-dup-0,female,emi8ly,tappeah,2913,perh,02 3833 3790,5029 2895 336 8799,29841.11,79,28731.7,710,na,66.737
rec-0080-dup-1,,emiily,taper,2912,perth,,5029 23895 3136 8799,29841.11,79,28731.7,70,na,66.737
rec-0080-dup-2,,emiily,tapper,291e,pergh,,5029 285 3136 8799,29841.11,79,28731.7,70,na,66.737
rec-0080-org,female,emiily,tapper,2913,perth,02 3833 3790,5029 2895 3136 8799,29841.11,79,28731.7,70,na,66.737
rec-0081-org,male,madison,millar,2617,perth,07 6895 8878,1333 6467 7688 8390,77293.32,2,55118.8,98,f,73.840
rec-0082-org,male,zali,felmingham,2611,sydney,08 0332 9075,6350 1400 6989 7013,37789.04,88,41016.2,58,m,74.551
rec-0083-dup-0,,emiili,wegman,2611,melbouahne,08 9854 9434,6202 9437 7697 9089,59129.01,100,31436.6,5,f,69.007
rec-0083-dup-1,,emiiiy,wegmaj,26q2,melbourne,08 9854 9434,6202 9437 767 9089,59129.01,100,31436.6,75,f,69.007
rec-0083-org,male,emiily,wegman,2612,melbourne,08 9854 9434,6202 9437 7697 9089,59129.01,100,31436.6,75,f,69.007
rec-0084-dup-0,male,xana,rafanelly,261q,perth,,9142 4469 836 9031,55175.79,91,16178.3,94,na,76.228
rec-0084-dup-1,,sharia,ravanelli,2621,perth,,9142 4469 2836 9031,55175.79,91,16178.3,94,na,76.228
rec-0084-dup-2,male,sthana,rafaneli,2621,perdh,04 8385 2749,9142 4469 2836 19031,55175.79,91,16178.3,94,na,76.228
rec-0084-org,male,shana,rafanelli,2611,perth,04 8385 2749,9142 4469 2836 9031,55175.79,91,16178.3,94,na,76.228
rec-0085-dup-0,,aylana,godfrev,2617,hobaet,07 4838 5367,6226 99939033 6652,48160.01,74,49768.8,57,m,76.519
rec-0085-dup-1,,alaria,godfrey,2617,hobart,,6226 993 9033 6652,48160.01,74,49768.8,75,m,76.519
rec-0085-org,female,alana,godfrey,2617,hobart,07 4838 5367,6226 9993 9033 6652,48160.01,74,49768.8,57,m,76.519
rec-0086-dup-0,male,el|a,baynez,missing,melbourne,04 3744 4658,3663 8529 264 7614,20874.90,88,38722.4,004,f,73.370
rec-0086-org,male,ella,baynes,2903,melbourne,04 3744 4658,3663 8529 2464 7614,20874.90,88,38722.4,104,f,73.370
rec-0087-org,female,savannah,weaver,2618,brisbane,04 4413 8084,8745 2008 9166 8886,31322.68,20,66698.5,57,f,72.450
rec-0088-org,female,madeline,dillon-kenny,2614,sydney,02 3327 1829,5995 0403 9928 5472,66369.47,18,68319.6,78,f,75.253
rec-0089-dup-0,female,emikly,morcom,29p5,canberta,,7536 1975 2166 8604,78450.06,22,29547.0,10,f,77.985
rec-0089-dup-1,,emiili,morkom,290t,canberra,,7536 1975 2166 8604,78450.06,22,29547.0,20,f,77.985
rec-0089-dup-2,,emiili,moahcom,2905,canberra,,7536 1975 216 8604,78450.06,22,29547.0,20,f,77.985
rec-0089-org,female,emiily,morcom,2905,canberra,08 1333 0325,7536 1975 2166 8604,78450.06,22,29547.0,20,f,77.985
rec-0090-dup-0,female,maddis0n,cifaly,261q,brisgane,,1430 8880 0046 3183,66817.71,92,9542.9,28,na,75.536
rec-0090-org,female,maddison,cifali,2611,brisbane,04 6057 3422,1430 8880 0046 3183,66817.71,92,9542.9,28,na,75.536
rec-0091-org,female,taylah,block,2906,sydney,04 9537 4503,6375 7498 3356 0669,26334.42,92,109916.9,48,na,70.835
rec-0092-dup-0,,alisa,dixom,2615,melb9urne,,2991 9783 9210 0575,57829.58,48,31710.5,57,m,72.662
rec-0092-dup-1,,alsisa,dixon,26q5,melbournd,03 7055 0013,2991 9783 921 0575,57829.58,48,31710.5,57,m,72.662
rec-0092-org,female,alissa,dixon,2615,melbourne,03 7055 0013,2991 9783 9210 0575,57829.58,48,31710.5,57,m,72.662
rec-0093-dup-0,male,jessi,vinkent,26o7,sydney,,0398 1614 1671 7658,35196.97,81,175863.2,5,f,72.368
rec-0093-dup-1,,jezsie,fincent,260y,sydney,,0398 1614 1671 7658,35196.97,81,175863.2,57,f,72.368
rec-0093-org,male,jessie,vincent,2607,sydney,02 3759 5310,0398 1614 1671 7658,35196.97,81,175863.2,57,f,72.368
rec-0094-org,female,danielle,wimbush,2603,brisbane,08 9149 2490,1284 1017 2333 3370,20995.46,71,68471.6,95,na,73.235
rec-0095-dup-0,,chanstelle,shoebridge,2904,pertn,,4741 6890 7886 057,41807.89,115,70534.1,88,m,80.292
rec-0095-dup-1,,chantelle,shoebridg,2904,perdh,,4741 6890 78876 0574,41807.89,115,70534.1,88,m,80.292
rec-0095-dup-2,male,chantelile,jhoebridge,2904,prth,,4741 890 7886 0574,41807.89,115,70534.1,88,m,80.292
rec-0095-org,male,chantelle,shoebridge,2904,perth,03 2976 6600,4741 6890 7886 0574,41807.89,115,70534.1,88,m,80.292
rec-0096-org,male,jasmine,paterson,2913,sydney,07 2685 0406,6432 4157 2094 6870,59685.53,3,171423.9,50,f,75.367
rec-0097-dup-0,female,tayjah,hildon,2996,hobart,07 3502 8543,3684 1763 39739 9721,43107.75,2,57121.0,724,m,74.660
rec-0097-dup-1,,taylaj,hilton,29o6,hopart,07 3502 8543,3684 1763 3973 9 721,43107.75,2,57121.0,24,m,74.660
rec-0097-org,female,taylah,hilton,2906,hobart,07 3502 8543,3684 1763 3973 9721,43107.75,2,57121.0,24,m,74.660
rec-0098-org,female,saara,mayer,2614,melbourne,02 4088 0023,1204 2094 7749 9987,84475.23,87,97604.9,45,f,75.506
rec-0099-org,male,ysobel,borgelt,2607,sydney,04 6882 7669,9670 8930 2191 2302,53793.05,8,143356.2,18,f,79.255
rec-0100-dup-0,,emiili,riean,2607,perth,02 9207 8274,5643 9138 39572 7730,60686.12,13,45693.1,43,m,76.532
rec-0100-org,male,emiily,ryan,2606,perth,02 9207 8274,5643 9138 3957 7730,60686.12,13,45693.1,43,m,76.532
rec-0101-org,male,aleisha,bruck,2605,sydney,07 9656 5912,7957 5668 4066 5581,31558.64,13,98897.0,57,f,73.986
rec-0102-dup-0,,ambeah,wil|es,2602,kanberra,,3689 5023 1737 8574,103455.67,10,57395.9,93,m,69.817
rec-0102-org,female,amber,willes,2602,canberra,02 7068 9066,3689 5023 1737 8574,103455.67,10,57395.9,93,m,69.817
rec-0103-dup-0,,rebecca,rodoplulos,2y11,,,0997 8717 9900 2868,77074.90,102,62335.7,68,na,71.844
rec-0103-dup-1,,rebekca,rod0poulos,2611,,07 6415 2205,0997 8717 9900  2868,77074.90,102,62335.7,68,na,71.844
rec-0103-dup-2,female,rebecka,rodopouloz,2612,csnberra,,0997 8717 9900 2868,77074.90,102,62335.7,68,na,71.844
rec-0103-org,female,rebecca,rodopoulos,2611,canberra,07 6415 2205,0997 8717 9900 2868,77074.90,102,62335.7,68,na,71.844
rec-0104-dup-0,,georjia,mils,26q5,melbourne,,1724 4347 4912 9749,74105.75,17,147497.3,33,f,76.289
